Dataset,AUC-PR,AUC-ROC,Affiliation-F,PA-F1,R_AUC_PR,R_AUC_ROC,Standard-F1,VUS-PR,VUS-ROC
MSL,0.366,0.813,0.679,0.618,0.343,0.758,0.443,0.315,0.731
PSM,0.753,0.875,0.716,0.857,0.671,0.735,0.712,0.61,0.692
SMAP,0.237,0.708,0.749,0.601,0.257,0.676,0.346,0.235,0.648
SWAT,0.826,0.9,0.757,0.904,0.603,0.734,0.83,0.597,0.728
WADI,0.578,0.802,0.794,0.721,0.547,0.818,0.615,0.496,0.783
SMD,0.242,0.816,0.708,0.315,0.155,0.709,0.223,0.131,0.685
