Dataset,AUC-PR,AUC-ROC,Affiliation-F,PA-F1,R_AUC_PR,R_AUC_ROC,Standard-F1,VUS-PR,VUS-ROC
MSL,0.353,0.826,0.679,0.655,0.35,0.786,0.442,0.321,0.764
PSM,0.697,0.835,0.715,0.819,0.625,0.698,0.663,0.566,0.657
SMAP,0.25,0.712,0.725,0.575,0.258,0.63,0.349,0.235,0.601
SWAT,0.856,0.91,0.779,0.902,0.644,0.75,0.84,0.636,0.743
WADI,0.635,0.811,0.794,0.741,0.586,0.816,0.635,0.543,0.782
SMD,0.153,0.751,0.697,0.32,0.132,0.673,0.231,0.11,0.643
