Dataset,AUC-PR,AUC-ROC,Affiliation-F,PA-F1,R_AUC_PR,R_AUC_ROC,Standard-F1,VUS-PR,VUS-ROC
MSL,0.335,0.795,0.679,0.653,0.323,0.768,0.389,0.294,0.747
PSM,0.657,0.822,0.712,0.804,0.618,0.704,0.622,0.558,0.664
SMAP,0.254,0.69,0.717,0.512,0.257,0.634,0.354,0.231,0.6
SWAT,0.839,0.906,0.741,0.888,0.597,0.752,0.833,0.588,0.742
WADI,0.601,0.82,0.79,0.713,0.574,0.846,0.618,0.526,0.812
SMD,0.162,0.753,0.69,0.317,0.129,0.663,0.231,0.108,0.635
