Dataset,Metric,Mean,Std,Min,Max
PSM,AUC-ROC,0.845,0.0176,0.822,0.875
PSM,Standard-F1,0.670,0.0297,0.622,0.712
PSM,VUS-PR,0.577,0.0187,0.558,0.610
PSM,VUS-ROC,0.673,0.0132,0.657,0.692
PSM,AUC-PR,0.704,0.0311,0.657,0.753
PSM,Affiliation-F,0.716,0.0044,0.712,0.724
PSM,PA-F1,0.818,0.0307,0.768,0.857
PSM,R_AUC_PR,0.636,0.0198,0.618,0.671
PSM,R_AUC_ROC,0.714,0.0151,0.698,0.735
