Dataset,Metric,Mean,Std,Min,Max
MSL,AUC-ROC,0.810,0.0104,0.795,0.826
MSL,Standard-F1,0.413,0.0243,0.389,0.443
MSL,VUS-PR,0.304,0.0129,0.286,0.321
MSL,VUS-ROC,0.746,0.0142,0.729,0.764
MSL,AUC-PR,0.340,0.0178,0.315,0.366
MSL,Affiliation-F,0.679,0.0000,0.679,0.679
MSL,PA-F1,0.629,0.0305,0.574,0.655
MSL,R_AUC_PR,0.333,0.0131,0.314,0.350
MSL,R_AUC_ROC,0.769,0.0137,0.750,0.786
