Dataset,Metric,Mean,Std,Min,Max
SMAP,AUC-ROC,0.701,0.0105,0.686,0.712
SMAP,Standard-F1,0.349,0.0038,0.343,0.354
SMAP,VUS-PR,0.232,0.0028,0.228,0.235
SMAP,VUS-ROC,0.606,0.0215,0.589,0.648
SMAP,AUC-PR,0.241,0.0105,0.224,0.254
SMAP,Affiliation-F,0.715,0.0212,0.690,0.749
SMAP,PA-F1,0.566,0.0351,0.512,0.602
SMAP,R_AUC_PR,0.256,0.0025,0.251,0.258
SMAP,R_AUC_ROC,0.638,0.0194,0.624,0.676
