Dataset,Metric,Mean,Std,Min,Max
SMD,AUC-ROC,0.769,0.0240,0.751,0.816
SMD,Standard-F1,0.230,0.0033,0.223,0.232
SMD,VUS-PR,0.114,0.0084,0.108,0.131
SMD,VUS-ROC,0.649,0.0182,0.635,0.685
SMD,AUC-PR,0.182,0.0313,0.153,0.242
SMD,Affiliation-F,0.698,0.0060,0.690,0.708
SMD,PA-F1,0.315,0.0055,0.304,0.320
SMD,R_AUC_PR,0.136,0.0094,0.129,0.155
SMD,R_AUC_ROC,0.676,0.0168,0.663,0.709
