Dataset,AUC-PR,AUC-ROC,Affiliation-F,PA-F1,R_AUC_PR,R_AUC_ROC,Standard-F1,VUS-PR,VUS-ROC
MSL,0.331,0.811,0.679,0.574,0.336,0.782,0.403,0.306,0.759
PSM,0.696,0.848,0.712,0.768,0.622,0.705,0.687,0.566,0.666
SMAP,0.224,0.707,0.69,0.602,0.251,0.625,0.351,0.228,0.592
SWAT,0.844,0.906,0.746,0.899,0.612,0.745,0.836,0.603,0.737
WADI,0.584,0.813,0.791,0.722,0.561,0.835,0.615,0.514,0.801
SMD,0.175,0.759,0.694,0.317,0.133,0.669,0.232,0.111,0.641
