Dataset,Metric,Mean,Std,Min,Max
SWAT,AUC-ROC,0.907,0.0050,0.900,0.915
SWAT,Standard-F1,0.836,0.0039,0.830,0.840
SWAT,VUS-PR,0.617,0.0273,0.588,0.661
SWAT,VUS-ROC,0.744,0.0148,0.728,0.772
SWAT,AUC-PR,0.842,0.0099,0.826,0.856
SWAT,Affiliation-F,0.762,0.0181,0.741,0.787
SWAT,PA-F1,0.896,0.0067,0.888,0.904
SWAT,R_AUC_PR,0.626,0.0283,0.597,0.672
SWAT,R_AUC_ROC,0.752,0.0156,0.734,0.781
